(100091, 100039)
(100081, 100029)
(100071, 100019)
(100061, 100009)
(100051, 99999)
(100041, 99989)
(100031, 99979)
(100021, 99969)
(100011, 99959)
(100001, 99949)
(99991, 99939)
(99981, 99929)
(99971, 99919)
(99961, 99909)
(99951, 99899)
(99941, 99889)
(99931, 99879)
(99921, 99869)
(99911, 99859)
(99901, 99849)
(99891, 99839)
(99881, 99829)
(99871, 99819)
(99861, 99809)
(99851, 99799)
(99841, 99789)
(99831, 99779)
(99821, 99769)
(99811, 99759)
(99801, 99749)
(99791, 99739)
(99781, 99729)
(99771, 99719)
(99761, 99709)
(99751, 99699)
(99741, 99689)
(99731, 99679)
(99721, 99669)
(99711, 99659)
(99701, 99649)
(99691, 99639)
(99681, 99629)
(99671, 99619)
(99661, 99609)
(99651, 99599)
(99641, 99589)
(99631, 99579)
(99621, 99569)
(99611, 99559)
(99601, 99549)
(99591, 99539)
(99581, 99529)
(99571, 99519)
(99561, 99509)
(99551, 99499)
(99541, 99489)
(99531, 99479)
(99521, 99469)
(99511, 99459)
(99501, 99449)
(99491, 99439)
(99481, 99429)
(99471, 99419)
(99461, 99409)
(99451, 99399)
(99441, 99389)
(99431, 99379)
(99421, 99369)
(99411, 99359)
(99401, 99349)
(99391, 99339)
(99381, 99329)
(99371, 99319)
(99361, 99309)
(99351, 99299)
(99341, 99289)
(99331, 99279)
(99321, 99269)
(99311, 99259)
(99301, 99249)
(99291, 99239)
(99281, 99229)
(99271, 99219)
(99261, 99209)
(99251, 99199)
(99241, 99189)
(99231, 99179)
(99221, 99169)
(99211, 99159)
(99201, 99149)
(99191, 99139)
(99181, 99129)
(99171, 99119)
(99161, 99109)
(99151, 99099)
(99141, 99089)
(99131, 99079)
(99121, 99069)
(99111, 99059)
(99101, 99049)
(99091, 99039)
(99081, 99029)
(99071, 99019)
(99061, 99009)
(99051, 98999)
(99041, 98989)
(99031, 98979)
(99021, 98969)
(99011, 98959)
(99001, 98949)
(98991, 98939)
(98981, 98929)
(98971, 98919)
(98961, 98909)
(98951, 98899)
(98941, 98889)
(98931, 98879)
(98921, 98869)
(98911, 98859)
(98901, 98849)
(98891, 98839)
(98881, 98829)
(98871, 98819)
(98861, 98809)
(98851, 98799)
(98841, 98789)
(98831, 98779)
(98821, 98769)
(98811, 98759)
(98801, 98749)
(98791, 98739)
(98781, 98729)
(98771, 98719)
(98761, 98709)
(98751, 98699)
(98741, 98689)
(98731, 98679)
(98721, 98669)
(98711, 98659)
(98701, 98649)
(98691, 98639)
(98681, 98629)
(98671, 98619)
(98661, 98609)
(98651, 98599)
(98641, 98589)
(98631, 98579)
(98621, 98569)
(98611, 98559)
(98601, 98549)
(98591, 98539)
(98581, 98529)
(98571, 98519)
(98561, 98509)
(98551, 98499)
(98541, 98489)
(98531, 98479)
(98521, 98469)
(98511, 98459)
(98501, 98449)
(98491, 98439)
(98481, 98429)
(98471, 98419)
(98461, 98409)
(98451, 98399)
(98441, 98389)
(98431, 98379)
(98421, 98369)
(98411, 98359)
(98401, 98349)
(98391, 98339)
(98381, 98329)
(98371, 98319)
(98361, 98309)
(98351, 98299)
(98341, 98289)
(98331, 98279)
(98321, 98269)
(98311, 98259)
(98301, 98249)
(98291, 98239)
(98281, 98229)
(98271, 98219)
(98261, 98209)
(98251, 98199)
(98241, 98189)
(98231, 98179)
(98221, 98169)
(98211, 98159)
(98201, 98149)
(98191, 98139)
(98181, 98129)
(98171, 98119)
(98161, 98109)
(98151, 98099)
(98141, 98089)
(98131, 98079)
(98121, 98069)
(98111, 98059)
(98101, 98049)
(98091, 98039)
(98081, 98029)
(98071, 98019)
(98061, 98009)
(98051, 97999)
(98041, 97989)
(98031, 97979)
(98021, 97969)
(98011, 97959)
(98001, 97949)
(97991, 97939)
(97981, 97929)
(97971, 97919)
(97961, 97909)
(97951, 97899)
(97941, 97889)
(97931, 97879)
(97921, 97869)
(97911, 97859)
(97901, 97849)
(97891, 97839)
(97881, 97829)
(97871, 97819)
(97861, 97809)
(97851, 97799)
(97841, 97789)
(97831, 97779)
(97821, 97769)
(97811, 97759)
(97801, 97749)
(97791, 97739)
(97781, 97729)
(97771, 97719)
(97761, 97709)
(97751, 97699)
(97741, 97689)
(97731, 97679)
(97721, 97669)
(97711, 97659)
(97701, 97649)
(97691, 97639)
(97681, 97629)
(97671, 97619)
(97661, 97609)
(97651, 97599)
(97641, 97589)
(97631, 97579)
(97621, 97569)
(97611, 97559)
(97601, 97549)
(97591, 97539)
(97581, 97529)
(97571, 97519)
(97561, 97509)
(97551, 97499)
(97541, 97489)
(97531, 97479)
(97521, 97469)
(97511, 97459)
(97501, 97449)
(97491, 97439)
(97481, 97429)
(97471, 97419)
(97461, 97409)
(97451, 97399)
(97441, 97389)
(97431, 97379)
(97421, 97369)
(97411, 97359)
(97401, 97349)
(97391, 97339)
(97381, 97329)
(97371, 97319)
(97361, 97309)
(97351, 97299)
(97341, 97289)
(97331, 97279)
(97321, 97269)
(97311, 97259)
(97301, 97249)
(97291, 97239)
(97281, 97229)
(97271, 97219)
(97261, 97209)
(97251, 97199)
(97241, 97189)
(97231, 97179)
(97221, 97169)
(97211, 97159)
(97201, 97149)
(97191, 97139)
(97181, 97129)
(97171, 97119)
(97161, 97109)
(97151, 97099)
(97141, 97089)
(97131, 97079)
(97121, 97069)
(97111, 97059)
(97101, 97049)
(97091, 97039)
(97081, 97029)
(97071, 97019)
(97061, 97009)
(97051, 96999)
(97041, 96989)
(97031, 96979)
(97021, 96969)
(97011, 96959)
(97001, 96949)
(96991, 96939)
(96981, 96929)
(96971, 96919)
(96961, 96909)
(96951, 96899)
(96941, 96889)
(96931, 96879)
(96921, 96869)
(96911, 96859)
(96901, 96849)
(96891, 96839)
(96881, 96829)
(96871, 96819)
(96861, 96809)
(96851, 96799)
(96841, 96789)
(96831, 96779)
(96821, 96769)
(96811, 96759)
(96801, 96749)
(96791, 96739)
(96781, 96729)
(96771, 96719)
(96761, 96709)
(96751, 96699)
(96741, 96689)
(96731, 96679)
(96721, 96669)
(96711, 96659)
(96701, 96649)
(96691, 96639)
(96681, 96629)
(96671, 96619)
(96661, 96609)
(96651, 96599)
(96641, 96589)
(96631, 96579)
(96621, 96569)
(96611, 96559)
(96601, 96549)
(96591, 96539)
(96581, 96529)
(96571, 96519)
(96561, 96509)
(96551, 96499)
(96541, 96489)
(96531, 96479)
(96521, 96469)
(96511, 96459)
(96501, 96449)
(96491, 96439)
(96481, 96429)
(96471, 96419)
(96461, 96409)
(96451, 96399)
(96441, 96389)
(96431, 96379)
(96421, 96369)
(96411, 96359)
(96401, 96349)
(96391, 96339)
(96381, 96329)
(96371, 96319)
(96361, 96309)
(96351, 96299)
(96341, 96289)
(96331, 96279)
(96321, 96269)
(96311, 96259)
(96301, 96249)
(96291, 96239)
(96281, 96229)
(96271, 96219)
(96261, 96209)
(96251, 96199)
(96241, 96189)
(96231, 96179)
(96221, 96169)
(96211, 96159)
(96201, 96149)
